userId,name,email,password,bananaScore
1,John Doe,johndoe@example.com,password123,5
2,Jane Smith,janesmith@example.com,pass456,5
3,Bob Johnson,bobjohnson@example.com,abc789,5
4,ayoub,ayoub@example.com,123456,6
5,sami,sami@exemple.com,654321,4
6,Nachouki,nachouki@example.com,951357,7
7,sonic,sonic@000.fr,020103,5
8,ikram,ikramiddouch1@gmail.com,kkkk,5
9,walid,walid@example.com,147258,5
10,khadija,khadija@mail.com,369258,6
11,jack,jacksparrow@mail.com,123456,5
12,Ibtissam,Ibtissam@example.com,123456,5
13,lucas,lucas@example.com,789456,5
14,walid,walid@mail.fr,123456,6
15,ahmed,ahmed@mail.fr,123456,6
16,user1,user1@mail.fr,123456,5
17,test,test@mail.fr,123456,5
